"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 07, 2020","313.78","315.32","317.50","313.40","82.52M","-1.03%"
"Jul 06, 2020","317.05","316.40","317.24","315.59","61.71M","1.54%"
"Jul 05, 2020","312.23","312.23","312.23","312.23","-","0.00%"
"Jul 04, 2020","312.23","312.23","312.23","312.23","-","0.00%"
"Jul 02, 2020","312.23","314.29","315.59","311.53","69.34M","0.55%"
"Jul 01, 2020","310.52","309.53","311.86","309.10","72.40M","0.70%"
"Jun 30, 2020","308.36","303.95","310.16","303.85","113.39M","1.28%"
"Jun 29, 2020","304.46","301.41","304.46","299.04","79.77M","1.47%"
"Jun 26, 2020","300.05","306.16","306.39","299.42","127.96M","-2.38%"
"Jun 25, 2020","307.35","303.28","307.61","301.34","89.47M","1.07%"
"Jun 24, 2020","304.09","309.78","310.48","302.13","132.81M","-2.55%"
"Jun 23, 2020","312.05","313.42","314.46","311.62","68.47M","0.46%"
"Jun 22, 2020","310.62","307.95","311.04","306.81","74.65M","0.64%"
"Jun 19, 2020","308.64","314.17","314.38","306.53","135.55M","-1.01%"
"Jun 18, 2020","311.78","309.93","312.27","309.61","80.83M","0.04%"
"Jun 17, 2020","311.66","314.04","314.37","311.04","83.40M","-0.42%"
"Jun 16, 2020","312.96","315.34","315.61","307.93","137.63M","1.92%"
"Jun 15, 2020","307.05","298.03","308.23","296.77","135.78M","0.93%"
"Jun 12, 2020","304.21","308.24","309.08","298.60","194.68M","1.20%"
"Jun 11, 2020","300.61","310.95","312.03","300.04","209.24M","-5.76%"
"Jun 10, 2020","319.00","321.53","322.38","318.25","95.00M","-0.56%"
"Jun 09, 2020","320.79","320.30","322.36","319.38","77.48M","-0.75%"
"Jun 08, 2020","323.20","320.22","323.27","319.63","73.64M","1.21%"
"Jun 07, 2020","319.34","319.34","319.34","319.34","-","0.00%"
